Item,Profile
DISP Nicless Stick + Disposable 0% NICOTINE FREE - Cool Mint,"Mint, Cool, Ice, Menthol"
DISP Nicless Stick + Disposable 0% NICOTINE FREE - Kiwi Strawberry,"Kiwi, Strawberry, Fruit"
DISP Nicless Stick + Disposable 0% NICOTINE FREE - Lush Ice,"Watermelon, Ice, Menthol, Fruit, Lush Ice"
DISP Nicless Stick + Disposable 0% NICOTINE FREE - Menthol,"Menthol, Ice"
DISP Nicless Stick + Disposable 0% NICOTINE FREE - Peach Gummy Bear,"Peach, Gummy, Sweet, Candy, Fruit"
DISP Nicless Stick + Disposable 0% NICOTINE FREE - Pink Lemonade,"Citrus, Lemonade, Lemon, Strawberry, Fruit"
DISP Nicless Stick + Disposable 0% NICOTINE FREE - Spearmint,"Spearmint, Mint, Ice, Menthol"
DISP Nicless Stick + Disposable 0% NICOTINE FREE - Strawberry Banana,"Strawberry, Banana, Fruit"
DISP Nicless Stick + Disposable 0% NICOTINE FREE - Watermelon Mango,"Watermelon, Mango, Fruit"
DISP RAZ CA6000 5% Alaskan Mint,"Mint, Ice, Menthol"
DISP RAZ CA6000 5% Blue Raz Ice,"Blue Raspberry, Ice, Blue Razz, Menthol, Fruit, Candy"
DISP RAZ CA6000 5% Cactus Jack,"Cactus, Pineapple, Mango, Papaya, Guava, Fruit, Tropical"
DISP RAZ CA6000 5% Crushed Berries,"Berry, Blackberry, Strawberry, Fruit"
DISP RAZ CA6000 5% Dragonfruit Lemonade,"Dragonfruit, Lemonade, Lemon, Fruit"
